DATE,ATNHPIUS47260Q
1976-07-01,38.67
1976-10-01,38.72
1977-01-01,40.2
1977-04-01,40.24
1977-07-01,42.49
1977-10-01,43.16
1978-01-01,42.29
1978-04-01,44.82
1978-07-01,45.54
1978-10-01,46.92
1979-01-01,48.67
1979-04-01,48.37
1979-07-01,49.65
1979-10-01,53.85
1980-01-01,55.52
1980-04-01,56.26
1980-07-01,56.52
1980-10-01,55.55
1981-01-01,56.67
1981-04-01,55.82
1981-07-01,58.93
1981-10-01,60.39
1982-01-01,.
1982-04-01,58.65
1982-07-01,59.35
1982-10-01,62.92
1983-01-01,66.15
1983-04-01,65.25
1983-07-01,64.9
1983-10-01,67.17
1984-01-01,70.59
1984-04-01,72.24
1984-07-01,74.01
1984-10-01,73.77
1985-01-01,75.08
1985-04-01,76.96
1985-07-01,77.93
1985-10-01,77.98
1986-01-01,79.51
1986-04-01,81.29
1986-07-01,82.34
1986-10-01,83.44
1987-01-01,84.5
1987-04-01,86.05
1987-07-01,87.44
1987-10-01,87.57
1988-01-01,89.42
1988-04-01,90.15
1988-07-01,90.33
1988-10-01,90.9
1989-01-01,91.42
1989-04-01,92.78
1989-07-01,93.11
1989-10-01,93.44
1990-01-01,93.45
1990-04-01,93.43
1990-07-01,93.79
1990-10-01,93.54
1991-01-01,94.1
1991-04-01,94.57
1991-07-01,94.13
1991-10-01,95.64
1992-01-01,96.8
1992-04-01,95.59
1992-07-01,97.24
1992-10-01,97.91
1993-01-01,97.25
1993-04-01,98.45
1993-07-01,98.84
1993-10-01,99.51
1994-01-01,100.1
1994-04-01,99.94
1994-07-01,99.8
1994-10-01,99.88
1995-01-01,100.00
1995-04-01,101.4
1995-07-01,103.11
1995-10-01,103.28
1996-01-01,104.62
1996-04-01,104.13
1996-07-01,104.14
1996-10-01,105.05
1997-01-01,105.99
1997-04-01,106.07
1997-07-01,107.02
1997-10-01,108.08
1998-01-01,109.68
1998-04-01,109.71
1998-07-01,110.6
1998-10-01,111.5
1999-01-01,111.9
1999-04-01,113.07
1999-07-01,113.7
1999-10-01,114.94
2000-01-01,115.6
2000-04-01,117.4
2000-07-01,119.01
2000-10-01,120.03
2001-01-01,122.53
2001-04-01,123.97
2001-07-01,125.99
2001-10-01,127.55
2002-01-01,129.63
2002-04-01,132.54
2002-07-01,135.4
2002-10-01,137.17
2003-01-01,139.5
2003-04-01,142.36
2003-07-01,146.21
2003-10-01,153.59
2004-01-01,158.21
2004-04-01,166.48
2004-07-01,178.75
2004-10-01,185.74
2005-01-01,194.09
2005-04-01,208.1
2005-07-01,219.22
2005-10-01,227.66
2006-01-01,235.24
2006-04-01,241.8
2006-07-01,245.54
2006-10-01,249.46
2007-01-01,251.34
2007-04-01,253.38
2007-07-01,252.68
2007-10-01,252.92
2008-01-01,252.04
2008-04-01,247.38
2008-07-01,243.8
2008-10-01,241.61
2009-01-01,240.89
2009-04-01,235.73
2009-07-01,230.25
2009-10-01,227.57
2010-01-01,225
2010-04-01,222.21
2010-07-01,224.38
2010-10-01,221.56
2011-01-01,215.04
2011-04-01,209.47
2011-07-01,208.52
2011-10-01,209.94
2012-01-01,206.56
2012-04-01,204.49
2012-07-01,206.63
2012-10-01,207.09
2013-01-01,206.05
2013-04-01,206.6
2013-07-01,205.6
2013-10-01,203.76
2014-01-01,206.14
2014-04-01,207.78
2014-07-01,209.84
2014-10-01,212.82
2015-01-01,213.5
2015-04-01,213.23
2015-07-01,213.8
2015-10-01,216.79
2016-01-01,212.89
2016-04-01,218.14
2016-07-01,220.67
2016-10-01,221.02
2017-01-01,219.58
2017-04-01,223.74
2017-07-01,226.46
2017-10-01,227.06
2018-01-01,227.48
2018-04-01,230.15
2018-07-01,231.84
2018-10-01,230.49
2019-01-01,235.16
2019-04-01,237.78
2019-07-01,242.42
